"Time","{cpu=""total"", endpoint=""https-metrics"", id=""/kubepods/besteffort/pod09713d3a-6c58-453a-bc76-2438c05b2d9e"", instance=""192.168.49.2:10250"", job=""kubelet"", metrics_path=""/metrics/cadvisor"", namespace=""default"", node=""minikube"", pod=""nginx-deployment-647677fc66-szwpr"", service=""prometheus-kube-prometheus-kubelet""}"
2025-03-17 18:06:20,0
2025-03-17 18:06:40,0
2025-03-17 18:07:20,0
2025-03-17 18:07:40,0
2025-03-17 18:08:00,0
2025-03-17 18:08:40,0
2025-03-17 18:09:00,0
2025-03-17 18:09:20,0
2025-03-17 18:10:20,0
2025-03-17 18:11:00,0
2025-03-17 18:11:20,0
2025-03-17 18:11:40,0
2025-03-17 18:12:40,0
2025-03-17 18:13:00,0
2025-03-17 18:13:20,0
2025-03-17 18:13:40,0
2025-03-17 18:14:00,0
2025-03-17 18:14:20,0
2025-03-17 18:14:40,0
2025-03-17 18:15:00,0
2025-03-17 18:15:40,0
2025-03-17 18:16:00,0
2025-03-17 18:16:20,0
2025-03-17 18:16:40,0
2025-03-17 18:17:20,0
2025-03-17 18:17:40,0
2025-03-17 18:18:00,0
2025-03-17 18:19:00,0
2025-03-17 18:19:20,0
2025-03-17 18:19:40,0
2025-03-17 18:20:00,0
2025-03-17 18:20:20,0
2025-03-17 18:20:40,0
2025-03-17 18:22:20,0
2025-03-17 18:23:00,0
2025-03-17 18:23:20,0
2025-03-17 18:23:40,0
2025-03-17 18:24:00,0
2025-03-17 18:24:20,0
2025-03-17 18:25:00,0
2025-03-17 18:25:40,0
2025-03-17 18:26:00,0
2025-03-17 18:26:20,0
2025-03-17 18:26:40,0
2025-03-17 18:27:00,0
2025-03-17 18:27:40,0
2025-03-17 18:28:20,0
2025-03-17 18:29:00,0
2025-03-17 18:29:20,0
2025-03-17 18:30:00,0
2025-03-17 18:30:40,0
2025-03-17 18:31:00,0
2025-03-17 18:31:20,0
2025-03-17 18:32:00,0
2025-03-17 18:33:00,0
2025-03-17 18:33:20,0
2025-03-17 18:33:40,0
2025-03-17 18:34:00,0
2025-03-17 18:34:20,0
2025-03-17 18:34:40,0
2025-03-17 18:35:00,0
2025-03-17 18:35:20,0
2025-03-17 18:35:40,0
2025-03-17 18:37:00,0
2025-03-17 18:37:20,0
2025-03-17 18:37:40,0
2025-03-17 18:38:00,0
2025-03-17 18:38:40,0
2025-03-17 18:39:00,0
2025-03-17 18:39:40,0
2025-03-17 18:40:00,0
2025-03-17 18:40:20,0
2025-03-17 18:40:40,0
2025-03-17 18:41:00,0
2025-03-17 18:41:20,0
2025-03-17 18:41:40,0
2025-03-17 18:42:00,0
2025-03-17 18:42:20,0
2025-03-17 18:42:40,0
2025-03-17 18:43:00,0
2025-03-17 18:43:20,0
2025-03-17 18:43:40,0
2025-03-17 18:44:20,0
2025-03-17 18:45:00,0
2025-03-17 18:45:20,0
2025-03-17 18:45:40,0
2025-03-17 18:47:00,0
2025-03-17 18:47:40,0
2025-03-17 18:48:00,0
2025-03-17 18:48:20,0
2025-03-17 18:49:00,0
2025-03-17 18:49:20,0
2025-03-17 18:49:40,0
2025-03-17 18:50:00,0
2025-03-17 18:50:40,0
2025-03-17 18:51:00,0
2025-03-17 18:51:20,0
2025-03-17 18:51:40,0
2025-03-17 18:52:00,0
2025-03-17 18:52:20,0
2025-03-17 18:52:40,0
2025-03-17 18:53:20,0
2025-03-17 18:53:40,0
2025-03-17 18:54:00,0
2025-03-17 18:54:20,0
2025-03-17 18:54:40,0
2025-03-17 18:55:00,0
2025-03-17 18:55:20,0
2025-03-17 18:55:40,0
2025-03-17 18:56:00,0
2025-03-17 18:56:20,0
2025-03-17 18:56:40,0
2025-03-17 18:59:40,0
2025-03-17 19:00:00,0
2025-03-17 19:00:20,0
2025-03-17 19:01:00,0
2025-03-17 19:01:20,0
2025-03-17 19:01:40,0
2025-03-17 19:02:00,0
2025-03-17 19:02:20,0
2025-03-17 19:02:40,0
2025-03-17 19:03:00,0
2025-03-17 19:03:20,0
2025-03-17 19:03:40,0
2025-03-17 19:04:00,0
2025-03-17 19:04:20,0
2025-03-17 19:05:00,0
2025-03-17 19:05:20,0
2025-03-17 19:05:40,0
2025-03-17 19:06:00,0
2025-03-17 19:06:20,0
2025-03-17 19:08:00,0
2025-03-17 19:08:40,0
2025-03-17 19:09:00,0
2025-03-17 19:09:20,0
2025-03-17 19:10:00,0
2025-03-17 19:12:00,0
2025-03-17 19:12:20,0
2025-03-17 19:12:40,0
2025-03-17 19:13:00,0
2025-03-17 19:13:40,0
2025-03-17 19:14:00,0
2025-03-17 19:14:40,0
2025-03-17 19:15:40,0
2025-03-17 19:17:00,0
2025-03-17 19:17:20,0
2025-03-17 19:17:40,0
2025-03-17 19:18:00,0
2025-03-17 19:18:20,0
2025-03-17 19:18:40,0
2025-03-17 19:19:00,0
2025-03-17 19:22:20,0
2025-03-17 19:22:40,0
2025-03-17 19:23:00,0
2025-03-17 19:23:20,0
2025-03-17 19:23:40,0
2025-03-17 19:24:20,0
2025-03-17 19:24:40,0
2025-03-17 19:25:00,0
2025-03-17 19:25:40,0
2025-03-17 19:26:20,0
2025-03-17 19:26:40,0
2025-03-17 19:27:00,0
2025-03-17 19:27:20,0
2025-03-17 19:28:00,0
2025-03-17 19:28:20,0
2025-03-17 19:28:40,0
2025-03-17 19:29:40,0
2025-03-17 19:30:00,0
2025-03-17 19:30:20,0
2025-03-17 19:30:40,0
2025-03-17 19:31:00,0
2025-03-17 19:31:20,0
2025-03-17 19:31:40,0
2025-03-17 19:32:40,0
2025-03-17 19:33:00,0
2025-03-17 19:33:20,0
2025-03-17 19:33:40,0
2025-03-17 19:34:00,0
2025-03-17 19:34:20,0
2025-03-17 19:34:40,0
2025-03-17 19:35:00,0
2025-03-17 19:35:40,0
2025-03-17 19:36:00,0
2025-03-17 19:36:20,0
2025-03-17 19:36:40,0
2025-03-17 19:37:00,0
2025-03-17 19:37:20,0
2025-03-17 19:38:00,0
2025-03-17 19:38:40,0
2025-03-17 19:39:00,0
2025-03-17 19:39:20,0
2025-03-17 19:40:00,0
2025-03-17 19:40:20,0
2025-03-17 19:40:40,0
2025-03-17 19:41:00,0
2025-03-17 19:41:40,0
2025-03-17 19:42:00,0
2025-03-17 19:42:20,0
2025-03-17 19:42:40,0
2025-03-17 19:43:40,0
2025-03-17 19:44:00,0
2025-03-17 19:44:20,0
2025-03-17 19:44:40,0
2025-03-17 19:45:00,0
2025-03-17 19:46:20,0
2025-03-17 19:46:40,0
2025-03-17 19:47:00,0
2025-03-17 19:47:20,0
2025-03-17 19:48:40,0
2025-03-17 19:49:20,0
2025-03-17 19:50:00,0
2025-03-17 19:50:20,0
2025-03-17 19:51:00,0
2025-03-17 19:51:40,0
2025-03-17 19:52:00,0
2025-03-17 19:52:20,0
2025-03-17 19:54:40,0
2025-03-17 19:55:00,0
2025-03-17 19:55:20,0
2025-03-17 19:55:40,0
2025-03-17 19:56:20,0
2025-03-17 19:57:20,0
2025-03-17 19:58:00,0
2025-03-17 19:58:40,0
2025-03-17 20:24:40,0
2025-03-17 20:25:00,0
2025-03-17 20:25:20,0
2025-03-17 20:25:40,0
2025-03-17 20:26:20,0
2025-03-17 20:27:00,0
2025-03-17 20:27:40,0
2025-03-17 20:28:00,0
2025-03-17 20:28:20,0
2025-03-17 20:29:00,0
2025-03-17 20:29:40,0
2025-03-17 20:30:00,0
2025-03-17 20:30:20,0
2025-03-17 20:30:40,0
2025-03-17 20:31:00,0
2025-03-17 20:31:20,0
2025-03-17 20:32:00,0
2025-03-17 20:32:40,0
2025-03-17 20:33:00,0.0000521
2025-03-17 20:33:20,0
2025-03-17 20:33:40,0
2025-03-17 20:34:00,0.0000549
2025-03-17 20:34:20,0
2025-03-17 20:34:40,0
2025-03-17 20:35:00,0
2025-03-17 20:35:20,0
2025-03-17 20:36:00,0
2025-03-17 20:36:40,0
2025-03-17 20:37:00,0.0000445
2025-03-17 20:37:20,0.00158
2025-03-17 20:37:40,0.00117
2025-03-17 20:38:00,0.00154
2025-03-17 20:38:20,0.00156
2025-03-17 20:38:40,0.00159
2025-03-17 20:39:00,0.00121
2025-03-17 20:39:20,0.00139
2025-03-17 20:39:40,0.00143
2025-03-17 20:40:00,0.00112
2025-03-17 20:40:20,0.00152
2025-03-17 20:40:40,0.000680
2025-03-17 20:41:00,0.00144
2025-03-17 20:41:20,0.000918
2025-03-17 20:41:40,0.000919
2025-03-17 20:42:00,0.00131
2025-03-17 20:42:20,0.00149
2025-03-17 20:42:40,0.00134
2025-03-17 20:43:00,0.00143
2025-03-17 20:43:20,0.000854
2025-03-17 20:43:40,0.00123
2025-03-17 20:44:00,0.00114
2025-03-17 20:44:20,0.00138
2025-03-17 20:44:40,0.00148
2025-03-17 20:45:00,0.00130
2025-03-17 20:45:20,0.00153
2025-03-17 20:45:40,0.000876
2025-03-17 20:46:00,0.00123
2025-03-17 20:46:20,0.00150
2025-03-17 20:46:40,0.000957
2025-03-17 20:47:00,0.00151
2025-03-17 20:47:20,0.00106
2025-03-17 20:47:40,0.00103
2025-03-17 20:48:00,0.00162
2025-03-17 20:48:20,0.00154
2025-03-17 20:48:40,0.00114
2025-03-17 20:49:00,0.00100
2025-03-17 20:49:40,0.00131
2025-03-17 20:50:00,0.00134
2025-03-17 20:50:20,0.00122
2025-03-17 20:50:40,0.00112
2025-03-17 20:51:00,0.00124
2025-03-17 20:51:20,0.00104
2025-03-17 20:51:40,0.00117
2025-03-17 20:52:00,0.00151
2025-03-17 20:52:20,0.000924
2025-03-17 20:52:40,0.00135
2025-03-17 20:53:00,0.00158
2025-03-17 20:53:20,0.00129
2025-03-17 20:53:40,0.00106
2025-03-17 20:54:00,0.00106
2025-03-17 20:54:20,0.00109
2025-03-17 20:54:40,0.00142
2025-03-17 20:55:00,0.00111
2025-03-17 20:55:20,0.00142
2025-03-17 20:55:40,0.00117
2025-03-17 20:56:00,0.00156
2025-03-17 20:56:20,0.00144
2025-03-17 20:56:40,0.00124
2025-03-17 20:57:00,0.00110
2025-03-17 20:57:20,0.00135
2025-03-17 20:57:40,0.00127
2025-03-17 20:58:00,0.00117
2025-03-17 20:58:20,0.00169
2025-03-17 20:58:40,0.000730
2025-03-17 20:59:00,0
2025-03-17 20:59:20,0.0000494
2025-03-17 20:59:40,0
2025-03-17 21:00:00,0.0000324
2025-03-17 21:00:20,0
2025-03-17 21:00:40,0
2025-03-17 21:01:00,0
2025-03-17 21:01:40,0
2025-03-17 21:02:20,0.000658
2025-03-17 21:02:40,0.00124
2025-03-17 21:03:00,0.00125
2025-03-17 21:03:20,0.00111
2025-03-17 21:03:40,0.00121
2025-03-17 21:04:00,0.00134
2025-03-17 21:04:20,0.00131
2025-03-17 21:04:40,0.000912
2025-03-17 21:05:00,0.00119
2025-03-17 21:05:20,0.00143
2025-03-17 21:05:40,0.00120
2025-03-17 21:06:00,0.00127
2025-03-17 21:06:20,0.00128
2025-03-17 21:06:40,0.00131
2025-03-17 21:07:00,0.00144
2025-03-17 21:07:20,0.00166
2025-03-17 21:07:40,0.00117
2025-03-17 21:08:00,0.00149
2025-03-17 21:08:20,0.00128
2025-03-17 21:08:40,0.00124
2025-03-17 21:09:00,0.00121
2025-03-17 21:09:20,0.00134
2025-03-17 21:09:40,0.00105
2025-03-17 21:10:20,0.00113
2025-03-17 21:10:40,0.00168
2025-03-17 21:11:00,0.000958
2025-03-17 21:11:20,0.00133
2025-03-17 21:11:40,0.00145
2025-03-17 21:12:00,0.00140
2025-03-17 21:12:20,0.00135
