"Time","{cpu=""total"", endpoint=""https-metrics"", id=""/kubepods/besteffort/pod09713d3a-6c58-453a-bc76-2438c05b2d9e"", instance=""192.168.49.2:10250"", job=""kubelet"", metrics_path=""/metrics/cadvisor"", namespace=""default"", node=""minikube"", pod=""nginx-deployment-647677fc66-szwpr"", service=""prometheus-kube-prometheus-kubelet""}"
2025-03-17 19:04:30,0
2025-03-17 19:05:00,0
2025-03-17 19:06:00,0
2025-03-17 19:06:30,0
2025-03-17 19:07:30,0
2025-03-17 19:08:00,0
2025-03-17 19:09:00,0
2025-03-17 19:10:00,0
2025-03-17 19:10:30,0
2025-03-17 19:11:30,0
2025-03-17 19:12:00,0
2025-03-17 19:13:00,0
2025-03-17 19:13:30,0
2025-03-17 19:14:00,0
2025-03-17 19:14:30,0
2025-03-17 19:15:30,0
2025-03-17 19:16:30,0
2025-03-17 19:17:00,0
2025-03-17 19:18:00,0
2025-03-17 19:19:00,0
2025-03-17 19:19:30,0
2025-03-17 19:20:30,0
2025-03-17 19:21:30,0
2025-03-17 19:22:30,0
2025-03-17 19:23:00,0
2025-03-17 19:23:30,0
2025-03-17 19:24:30,0
2025-03-17 19:25:00,0
2025-03-17 19:25:30,0
2025-03-17 19:27:00,0
2025-03-17 19:27:30,0
2025-03-17 19:28:00,0
2025-03-17 19:28:30,0
2025-03-17 19:29:30,0
2025-03-17 19:30:00,0
2025-03-17 19:31:00,0
2025-03-17 19:31:30,0
2025-03-17 19:32:30,0
2025-03-17 19:33:00,0
2025-03-17 19:34:00,0
2025-03-17 19:34:30,0
2025-03-17 19:35:00,0
2025-03-17 19:36:00,0
2025-03-17 19:37:00,0
2025-03-17 19:37:30,0
2025-03-17 19:38:00,0
2025-03-17 19:39:00,0
2025-03-17 19:40:00,0
2025-03-17 19:40:30,0
2025-03-17 19:41:00,0
2025-03-17 19:41:30,0
2025-03-17 19:42:00,0
2025-03-17 19:42:30,0
2025-03-17 19:43:30,0
2025-03-17 19:44:00,0
2025-03-17 19:45:00,0
2025-03-17 19:45:30,0
2025-03-17 19:46:30,0
2025-03-17 19:47:00,0
2025-03-17 19:47:30,0
2025-03-17 19:48:30,0
2025-03-17 19:50:00,0
2025-03-17 19:50:30,0
2025-03-17 19:51:00,0
2025-03-17 19:52:00,0
2025-03-17 19:53:30,0
2025-03-17 19:54:30,0
2025-03-17 19:55:00,0
2025-03-17 19:55:30,0
2025-03-17 19:56:30,0
2025-03-17 19:57:30,0
2025-03-17 19:58:00,0
2025-03-17 20:24:30,0
2025-03-17 20:25:00,0
2025-03-17 20:25:30,0
2025-03-17 20:27:00,0
2025-03-17 20:28:00,0
2025-03-17 20:29:00,0
2025-03-17 20:30:00,0
2025-03-17 20:31:00,0
2025-03-17 20:31:30,0
2025-03-17 20:32:00,0
2025-03-17 20:33:00,0.0000521
2025-03-17 20:34:00,0.0000549
2025-03-17 20:34:30,0
2025-03-17 20:35:00,0
2025-03-17 20:36:00,0
2025-03-17 20:36:30,0
2025-03-17 20:37:00,0.0000445
2025-03-17 20:37:30,0.00170
2025-03-17 20:38:00,0.00154
2025-03-17 20:38:30,0.00145
2025-03-17 20:39:00,0.00121
2025-03-17 20:39:30,0.00132
2025-03-17 20:40:00,0.00112
2025-03-17 20:40:30,0.00211
2025-03-17 20:41:00,0.00144
2025-03-17 20:41:30,0.00120
2025-03-17 20:42:00,0.00131
2025-03-17 20:42:30,0.00159
2025-03-17 20:43:00,0.00143
2025-03-17 20:43:30,0.00141
2025-03-17 20:44:00,0.00114
2025-03-17 20:44:30,0.00127
2025-03-17 20:45:00,0.00130
2025-03-17 20:45:30,0.000993
2025-03-17 20:46:00,0.00123
2025-03-17 20:46:30,0.00111
2025-03-17 20:47:00,0.00151
2025-03-17 20:47:30,0.00194
